Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.72444443
Longitude: -46.67749999
Altitude: 771
Situacao: Operante
Data Inicial: 2020-12-31
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-12-31;0;925,1;19,4;30,1;23,4;20,5;79,2;56;12,6;2,2;
2021-01-01;10;926,5;19,5;26,8;21,5;19,1;89,2;62;7,4;1,6;
2021-01-02;1,4;926,9;18,7;22,3;19,5;18,5;94,9;82;7,6;2,4;
2021-01-03;,2;925,7;17,2;23,9;19,6;17,5;86,9;68;10,6;3,2;
2021-01-04;,2;925,6;18,1;25,5;20,3;17,3;87,9;63;8,8;2,3;
2021-01-05;,8;925,5;19,2;31,4;23,5;18,9;78,9;45;6,6;1,6;
2021-01-06;,2;924,8;20,7;32,9;25,1;20,8;79,3;44;9,1;1,5;
2021-01-07;,4;924,2;20,4;32,5;25,1;20,9;76,9;45;12,5;1,8;
2021-01-08;36,6;924,8;20,2;28,4;22,5;19,9;87,6;58;8,4;1,7;
2021-01-09;9,2;925;20,5;25,3;22,1;20,6;90,7;76;8,3;2,4;
2021-01-10;,2;925,4;20,8;28;22,7;20,4;89,7;68;8,6;1,9;
2021-01-11;15;925,3;21,5;28,7;23,3;21,3;89,9;64;9,5;2;
2021-01-12;,2;925,2;21,7;29;23,9;21,4;88,3;65;9;1,7;
2021-01-13;,6;926,1;21,3;25,5;22,6;21,4;92,5;80;9,1;2,3;
2021-01-14;5,8;926,7;20,5;26,7;22,2;21;89,9;71;9,3;2,6;
2021-01-15;0;926,3;19,6;26,2;21,1;19,3;91,8;66;7,1;1,3;
2021-01-16;20,6;924,3;19,2;30;23,3;18,9;79,8;49;7,9;1,5;
2021-01-17;,2;923,5;19;31,1;25,3;21,6;69,2;47;11,8;2,2;
2021-01-18;0;924,3;19,9;32,2;24,5;21,3;77;46;11;2,3;
2021-01-19;11,6;926,9;20,7;27,2;22,2;20,4;91,9;72;8,7;2,1;
2021-01-20;19,8;927,5;20,5;28;22,6;19,9;88,8;63;8,4;2,2;
2021-01-21;,2;928,3;20,1;27,8;22,1;19,6;89;65;9,4;2,2;
2021-01-22;,2;930,2;19,6;29,2;22,6;19,7;84,2;50;9,4;2,1;
2021-01-23;0;929,5;19,6;30,5;22,6;19,9;85,3;44;10,7;1,9;
2021-01-24;9,2;927,6;19,8;28,5;22,1;19,5;88;53;9,2;1,5;
2021-01-25;4,4;925,6;19,6;32,2;23,3;19,4;82,4;41;8,4;1,7;
2021-01-26;34,6;925,9;19,7;30,5;23;18,9;84,5;52;7,3;1,3;
2021-01-27;1,8;925;19,1;32,4;25,8;20,9;68,1;46;11,3;1,7;
2021-01-28;10;924,5;19,1;31,6;24,6;18,4;73;46;14,2;1,6;
2021-01-29;,2;924,7;19,1;32,3;25,6;21,1;70,5;39;8;1,1;
2021-01-30;0;926;20,1;33,8;26;20,7;73,6;33;7,6;1,4;
2021-01-31;0;925,7;20,2;32,3;25,7;20,9;73,5;49;6,3;1,1;
2021-02-01;0;925,5;19,2;30,4;24,2;21,2;74,3;47;9,2;1,4;
2021-02-02;,2;925,9;19,6;30,8;23,4;20,4;80,5;50;9,8;1,1;
2021-02-03;24,8;926,6;20,2;30,9;23,9;19,7;81,7;46;9,5;1,6;
2021-02-04;,2;923,5;21,1;33,3;26,3;21,5;74,9;48;10,3;1,7;
2021-02-05;9,2;921,1;19,2;27,3;21,7;19;86,1;67;7,2;1,9;
2021-02-06;,6;922,9;17,2;24,9;20,2;17,6;83,5;54;10,5;2,6;
2021-02-07;1,4;925,8;16,9;23,5;19,4;17,7;85,3;68;9,8;3;
2021-02-08;,4;926,3;15,9;23,7;19,8;17,3;79,2;56;10,1;3,2;
2021-02-09;0;927,1;16,3;23,7;19,5;16,4;82,4;63;10;2,8;
2021-02-10;0;927,3;17,8;25,2;20,6;17,1;84,8;64;10,4;2,4;
2021-02-11;,8;927,3;18,2;24,8;20;18,5;90;68;7,6;1,7;
2021-02-12;6,8;926,5;18,6;26,4;20,9;17,6;87,2;61;9;1,4;
2021-02-13;33,2;925,4;19,9;26,6;20,8;19,1;95;68;6,2;1,3;
2021-02-14;6,8;923,4;18,9;30,4;22,9;17,3;81,4;49;8,3;1,3;
